Country Code;Country Name;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961
BLR;Belarus;0,894547993;1,731391223;5,543711461;7,740781216;0,163535159;10,24824592;8,647315659;9,997986694;9,440903631;11,44974293;7,043192675;5,045267318;4,725306006;5,8;3,4;8,4;11,4;2,8;-10,4;-11,7;-7,6;-9,6;-1,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BLZ;Belize;0,68833652;4,017501989;1,330108827;3,850983675;0,293870697;3,881378107;1,195082317;4,697440177;2,971324708;4,648090814;9,329244616;5,118559327;5,015663395;13,03876739;8,780368083;3,740955126;3,545183788;1,428722652;0,643967584;0,157937823;6,276565634;12,03575736;10,49704514;10,62857555;13,09084029;9,237592471;11,21578844;4,574247496;1,066854714;1,957944359;-2,106015231;-0,283154178;1,29063344;15,16653087;7,517015518;7,920797204;6,496595744;-0,034006186;3,592820475;13,55999616;5,351874273;10,21829871;3,959442092;4,807692871;5,106383948;7,367218238;4,913124555;4,770873316;4,930533994;4,9998659;4,956423171;4,892658575;4,892276993
BMU;Bermuda;;-4,868600264;-3,33949441;-2,094113534;-5,284177149;1,52789391;2,845890114;5,543865928;1,674207149;2,321266476;3,410706204;-1,477790375;7,222436009;9,317155577;3,382648714;3,9;4,6;2,600476046;4,399147856;0,599613153;3,008567444;-0,059737157;-3,534383404;0,019212296;0,443844076;4,0562249;3,75;6,666666667;-2,003484321;0,481400438;2,008928571;-5,285412262;2,380952381;7,943925234;2,14797136;1,452784504;5,897435897;8,938547486;3,768115942;0,877192982;1,483679525;1,812688822;3,4375;6,312292359;3,436426117;2,105263158;13,27503975;14,36363636;4,76;11,11;1,07;4,47;4,68
BOL;Bolivia;6,775601009;5,176430946;5,173930422;4,126722747;3,35699943;6,14849781;4,564384483;4,797008739;4,4214331;4,173295561;2,711339832;2,485565815;1,683799034;2,507810988;0,426885364;5,029354636;4,954208776;4,361340311;4,678276905;4,667266268;4,269295333;1,646500041;5,266522073;4,635787902;3,790128399;2,909505435;2,463479559;-2,573877379;-1,676387517;-0,200671851;-4,0421214;-3,938737928;0,275616374;-1,371772908;0,133344044;2,052694572;4,971215655;4,614567486;7,311017727;2,939567816;5,739161523;7,967485213;5,063336435;-0,494821089;3,096013144;-12,16902788;6,908867793;6,497295789;5,62501857;4,794559731;6,420701221;5,570224684;2,07998367
BRA;Brazil;2,492011803;1,031803648;2,732509243;7,533615453;-0,32824804;5,169299014;6,095454977;3,955415269;3,156352388;5,713916916;1,146749064;2,655974267;1,314896121;4,305745715;0,255597103;0,035512204;3,374938815;2,15;4,416831993;5,334359877;4,665150948;-0,466914924;1,512067461;-4,3;3,279458852;-0,10267271;3,599629457;7,988295109;7,945861746;5,269143156;-3,40979348;0,580245554;-4,393357194;9,110960152;6,766284961;3,231709573;4,606318063;9,790410162;5,209075902;9,042120308;13,97869164;12,05280227;11,29508684;8,769947471;9,735826862;11,42728239;4,915265688;4,150360219;3,053487905;3,485582301;0,874672609;5,216059385;10,27591158
BRB;Barbados;;0,00929368;0,758497987;0,253473526;-4,139668826;0,343146108;1,670951157;5,706521739;3,996770287;1,433251433;1,973066082;0,672622176;-2,550184351;2,3;2,592656313;4,11236353;6,394727115;1,834015519;1,490133032;3,974816249;0,988418782;-4,978795395;-2,912053247;-4,806791861;5,039215686;6,25;1,020726894;9,431141409;0,509259259;3,361642173;0,17977373;-5,009107468;-3,206614983;4,73168673;7,666497018;6,132133198;4,377159725;-0,082528397;4,005149295;-4,650841244;1,340700424;1,273800672;3,912722436;9,509402995;7,518404794;6,921821318;10,63613614;4,00337126;11,4348435;5,004875747;-5,078421075;9,060758599;7,696529798
BRN;Brunei Darussalam;-1,751960547;0,948354662;3,429818477;2,598965911;-1,764535725;-1,939714507;0,15458146;4,397720432;0,38750691;0,504317943;2,903955035;3,872097238;2,744041404;2,84942187;3,052156067;-0,558508393;-1,471171731;2,878318295;4,478707096;3,145396702;0,304573971;4,758580079;3,145941252;1,089420416;-1,074177451;1,097366321;2,009129765;-2,715469691;-1,490748997;0,599876661;0,501464954;3,95665544;-19,82671582;-6,996702553;22,56242807;6,775834476;10,91669836;20,15539305;0,355463823;;;;;;;;;;;;;;
BTN;Bhutan;4,981880758;4,620016905;8,554492551;11,73085436;6,657223796;4,768354169;17,92582502;6,849365814;7,122559851;5,896408047;7,664333953;10,72784086;8,203773885;6,933024023;7,98397233;5,914030812;5,373838635;5,565172706;7,074117383;4,951503165;1,986366912;4,60089174;-0,407876048;10,87643422;7,43262602;4,98728977;28,69626499;11,730578;4,211773999;4,482105875;11,31071267;3,413942152;13,90772856;;;;;;;;;;;;;;;;;;;;
BWA;Botswana;5,897276144;4,256806574;6,182878224;8,594135556;-7,84100195;3,901466752;8,682340647;7,959531191;4,556645672;2,705821672;4,625894763;6,069530868;0,250573867;1,987695854;9,667240742;0,721993155;8,026549026;5,829800078;7,030410261;3,627915946;1,916107351;2,917070335;7,458708767;6,772822009;13,05940607;19,4499696;11,88192812;8,172924066;7,12527126;8,545383486;13,14672945;12,16553166;9,064857594;11,98690135;12,14858885;14,33280148;12,01204026;10,64737719;8,446249342;8,797796637;21,30318256;26,36193986;25,82110974;17,12026819;15,12340198;10,56705697;5,924563067;6,344015676;5,81395647;6,832297147;5,921048191;6,666668754;6,343279638
CAA;Sub-Saharan Africa (IFC classification);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CAF;Central African Republic;-35,99996656;4,099973792;3,299960767;6,635415455;8,907131878;3,892082265;8,122803427;7,600338264;0,908086102;5,994991722;-5,397469235;3,616488017;4,464782641;-2,489450099;3,600002936;4,699993861;5,300002639;-4,000001351;7,200002317;4,899999089;0,335145801;-6,424094388;-0,552426922;-2,147642437;1,977314589;1,710272957;-4,939033173;3,577966826;3,927278814;9,481555061;-8,126447755;7,715724617;-1,544507459;-4,47859983;-2,465071271;1,209223472;3,806281066;5,432442637;0,405003868;6,339140562;1,888768908;-0,000782878;1,130127023;2,332966044;7,091406507;1,404196747;4,676514621;0,644999279;0,947568972;2,080361136;-0,707243874;-3,713640129;4,953452742
CAN;Canada;2,022016672;1,709005656;2,528184205;3,374254224;-2,711471143;1,175426272;2,008311016;2,621781686;3,163129626;3,138788259;1,925317461;2,801868061;1,68837419;5,12312241;4,997256139;4,138186975;4,253348131;1,67960446;2,738493942;4,554007981;2,607370705;0,854376227;-2,120243594;0,128976308;2,375486267;4,737653439;4,042276901;2,198162692;4,679245192;5,57186535;2,566062757;-3,020265815;3,503119534;2,162616899;3,804922881;3,953591265;3,4582306;5,199302437;1,822973134;3,690987646;6,964202918;5,44585558;4,117657622;7,658303091;5,260000826;5,295341864;2,91531036;6,584965408;6,636545139;6,699456682;5,181776082;7,116779267;3,163291684
CEA;East Asia and the Pacific (IFC classification);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEB;Central Europe and the Baltics;1,180284838;0,667114416;3,056956374;2,194519525;-3,855380572;4,093677813;6,081415251;6,631445579;4,875611615;5,65439416;4,432038318;3,222215225;3,044424923;3,91379348;2,417260532;2,702268978;3,07741257;4,19524201;5,457023434;3,712978224;0,503780972;-3,765837686;-10,2163281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEU;Europe and Central Asia (IFC classification);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHE;Switzerland;1,927739643;1,049093458;1,790282415;2,953221916;-1,936830719;2,164255988;3,845718067;3,751556745;2,694952122;2,421136056;0,021085753;0,18536987;1,243151596;3,671187982;1,39609717;2,734192151;2,042216776;0,48467235;0,480866444;1,269757697;-0,125983546;-0,043732993;-0,915816571;3,674625633;4,330794053;3,277596252;1,585478167;1,85863279;3,673595918;3,008456411;0,639079458;-1,309417441;1,60133587;4,601977372;2,491512144;0,409083757;2,43365209;-1,403676042;-7,283174541;1,454907823;3,049907579;3,20050869;4,075442563;;;;;;;;;;
CHI;Channel Islands;;;;;;;5,898329661;4,882299364;1,377734157;0,224197396;-3,202156942;-1,632206598;-1,51296126;5,826641469;3,770263675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHL;Chile;4,074713728;5,381756367;5,838935066;5,762971568;-1,036430936;3,292454888;5,1608256;4,40497269;5,559452531;6,041086739;3,956748481;2,166908634;3,348180391;4,495792997;-0,760854812;3,230878709;6,605579633;7,413491523;10,62757722;5,708119098;6,986286682;12,27793063;7,969988372;3,697579901;10,56032523;7,311201451;6,594214893;5,5963533;7,119228429;7,973341573;-3,786572328;-10,32323245;4,737311069;8,148606529;8,682319916;7,462926811;8,697440297;3,406383573;-11,36278013;2,493844515;-4,941100699;-0,819195515;9,017964832;2,122519603;3,471317248;3,751679076;3,640783319;10,00160606;0,417175016;2,667871666;6,116564835;5,193079542;4,049930947
CHN;China;7,671191;7,652553;9,299885;10,446989;9,214199;9,634668;14,162395;12,676534;11,310035;10,08504;10,025379;9,082068;8,300318;7,619836;7,833347;9,297034;10,008523;10,92498;13,080682;13,964315;14,240706;9,178937;3,839025;4,063203;11,280584;11,583264;8,846377;13,466193;15,176021;10,852979;9,056871;5,24311;7,841442;7,572854;11,669919;7,6;-1,6;8,7;2,3;7,9;3,8;7;19,4;16,9;-4,1;-5,7;10,7;17;18,3;10,2;-5,6;-27,3;-0,3
CIV;Cote d'Ivoire;8,699;9,496;-4,720846429;2,362457855;3,648483968;2,21343463;1,714412159;0,683970709;1,255967959;1,793855153;-1,555364663;-1,430808153;-0,021230471;-3,700204692;1,586447579;4,752475248;5,719058597;7,729327422;7,125744722;0,811206687;-0,192485101;-0,244560612;0,040925169;-1,095908412;2,948004944;1,136483963;-0,34897291;3,259348769;4,501223174;-2,701261433;-3,900240443;0,200822352;3,500498908;-10,95769727;2,394407465;10,90945365;7,314459156;12,91639744;8,252886371;4,327380858;5,939197535;4,236625014;9,45663766;10,37503185;9,53921877;12,54824864;4,598151783;11,57735969;-3,109654277;17,61308783;14,49035586;1,226994487;9,932555161
CLA;Latin America and the Caribbean (IFC classification);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CME;Middle East and North Africa (IFC classification);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
