DATE,CANLORSGPNOSTSAM
1977-03-01,100.060285138446
1977-04-01,100.020377471284
1977-05-01,99.9746576160012
1977-06-01,99.9372627086477
1977-07-01,99.923781525016
1977-08-01,99.9466258456121
1977-09-01,100.008820307817
1977-10-01,100.095259031541
1977-11-01,100.18407555726
1977-12-01,100.256301696552
1978-01-01,100.305431169946
1978-02-01,100.332639297754
1978-03-01,100.343741955981
1978-04-01,100.347830457272
1978-05-01,100.353963984762
1978-06-01,100.368517281543
1978-07-01,100.392535419815
1978-08-01,100.424587389643
1978-09-01,100.463065430086
1978-10-01,100.508040617374
1978-11-01,100.561300631137
1978-12-01,100.626069165997
1979-01-01,100.706281507219
1979-02-01,100.804367428042
1979-03-01,100.918071303703
1979-04-01,101.03612191805
1979-05-01,101.144370046655
1979-06-01,101.231763438204
